STITCH,Gene
CID100002791,6257
CID100002791,8856
CID100002791,2104
CID000002536,5340
CID000002536,3816
CID000002536,11223
CID000002536,4485
CID000077992,3351
CID000077992,3350
CID000077992,3352
CID000002083,1269
CID000002083,124274
CID000002083,2849
CID000002083,2847
CID000002083,2844
CID000002083,2845
CID000002083,2842
CID000002083,54112
CID000002083,136
CID000002083,135
CID000002083,134
CID000002083,10692
CID000002083,9287
CID000002083,9283
CID000002083,4985
CID000002083,4987
CID000002083,10663
CID000002083,4988
CID000002083,27201
CID000002083,4889
CID000002083,221391
CID000002083,2850
CID000002083,84539
CID000002083,84634
CID000002083,4887
CID000002083,54329
CID000002083,54328
CID000002083,10886
CID000002083,10887
CID000002083,729230
CID000002083,23566
CID000002083,10888
CID000002083,9170
CID000002083,6010
CID000002083,56923
CID000002083,2798
CID000002083,128674
CID000002083,10803
CID000002083,319100
CID000002083,23596
CID000002083,94233
CID000002083,3274
CID000002083,285601
CID000002083,2827
CID000002083,53831
CID000002083,1902
CID000002083,338557
CID000002083,1234
CID000002083,1230
CID000002083,1813
CID000002083,1232
CID000002083,1233
CID000002083,1238
CID000002083,2837
CID000002083,2835
CID000002083,2834
CID000002083,2832
CID000002083,2831
CID000002083,2830
CID000002083,344561
CID000002083,2652
CID000002083,3354
CID000002083,5737
CID000002083,1241
CID000002083,8811
CID000002083,3351
CID000002083,83550
CID000002083,3350
CID000002083,623
CID000002083,2861
CID000002083,64106
CID000002083,3352
CID000002083,339403
CID000002083,153
CID000002083,7852
CID000002083,83873
CID000002083,152
CID000002083,155
CID000002083,9038
CID000002083,134864
CID000002083,64582
CID000002083,4829
CID000002083,5540
CID000002083,3361
CID000002083,3362
CID000002083,3363
CID000002083,186
CID000002083,187
CID000002083,185
CID000002083,2587
CID000002083,9293
CID000002083,5021
CID000002083,57007
CID000002083,4986
CID000002083,118442
CID000002083,8477
CID000002083,4157
CID000002083,84109
CID000002083,2925
CID000002083,5956
CID000002083,6752
CID000002083,6753
CID000002083,350383
CID000002083,6751
CID000002083,6754
CID000002083,6755
